ID:,Datum:,Grad:,Lokacija:,Link za kupovinu karte:,Turneja:,rezervisano [%]:,Broj rezervacija:,Maksimalni kapacitet:,Sheet za rezervacije (link):
1,08.02.2020.,Sarajevo,Merlinka festival // Jazzbina,,Euforija,2,3,150,https://docs.google.com/spreadsheets/d/e/2PACX-1vTf2x59aAUdGiQPdYdle4X57Vi4GWlJ4JwwyK8bkIRRbNPRq3lkyFqwokRMeBLAkyDH0hu2NfpXC1j3/pub?gid=904683388&single=true&output=csv
2,07.02.2020.,Zadar,Nigdjezemska,,Euforija,75,150,200,
3,06.02.2020.,Ljubljana,MENT festival // Orto bar,,Euforija,90,180,200,
4,23.01.2020.,Zagreb,Klub Sax,,Euforija,87,350,400,
5,22.12.2019.,Beograd,Dom omladine - sala Amerikana,,Euforija,100,600,600,
6,21.12.2019.,Beograd,Dom omladine - sala Amerikana,,Euforija,100,600,600,
7,13.12.2019.,Banja Luka,DKC Incel,,Euforija,0,0,200,
8,08.12.2019.,Niš,Klub Feedback,,Euforija,0,0,200,
9,07.12.2019.,Zaječar,Omladinski centar,,Euforija,0,0,200,
10,06.12.2019.,Niš,Klub Feedback,,Euforija,0,0,200,
11,05.12.2019.,Kragujevac,Dom omladine,,Euforija,0,0,200,
12,04.12.2019.,Skopje,МКЦ - Младински Културен Центар,,Euforija,0,0,200,
13,30.11.2019.,Novi Sad,MKC Petefi Šandor,,Euforija,0,0,200,
14,14.11.2019.,Budapest,BUSH Festival - Szimpla Kert,,,0,0,200,
15,22.08.2019.,Bačka Palanka,Palanački Dunav Fest 2019 - Hala Tikvara,https://web.facebook.com/events/422728251918085/,,0,0,200,
16,17.08.2019.,Beograd,Belgrade Beer Fest 2019 - Groove stage,https://web.facebook.com/belgradebeerfest/photos/a.805947719436271/2701494659881558/,,0,0,200,
17,16.08.2019.,Divčibare,Mountain Music Fest 2019,https://web.facebook.com/events/427113558011746/,,0,0,200,
18,27.07.2019.,Zaječar,Outhide Festival 2019,https://web.facebook.com/events/321712528550145/,,0,0,200,
19,22.06.2019.,Kragujevac,Arsenal Fest 09,https://web.facebook.com/events/352394698736899/,,0,0,200,
20,15.06.2019.,Beograd,Beer Garden,,,0,0,200,
21,25.05.2019.,Ćuprija,Klub ParadoX,https://web.facebook.com/events/354807885166033/,,0,0,200,
22,18.05.2019.,Novi Sad,CK13,https://web.facebook.com/events/2370450496562799/,,0,0,200,
23,10.05.2019.,Beograd,Dom omladine,https://web.facebook.com/events/601363010333471/,,0,0,200,
24,25.04.2019.,Zagreb,Klub Sax,https://web.facebook.com/events/351742352348053/,,0,0,200,
25,16.02.2019.,Novi Sad,Dom b-612,https://web.facebook.com/events/2242187959433415/,,0,0,200,
26,15.02.2019.,Subotica,Klub Mladost,https://web.facebook.com/events/236181470638556/,,0,0,200,
27,09.02.2019.,Kruševac,Kafe Grizzly,https://web.facebook.com/events/234380370781206/,,0,0,200,
28,02.02.2019.,Gornji Milanovac,Klub Ljubitelj,https://web.facebook.com/events/227384541546635/,,0,0,200,
29,01.02.2019.,Kragujevac,KC UMMUS,https://web.facebook.com/events/387605335307145/,,0,0,200,
30,31.01.2019.,Beograd,KC Grad,https://web.facebook.com/events/366881940760420/,,0,0,200,
31,19.01.2019.,Pančevo,Dvorana Apollo,https://web.facebook.com/events/941004772764596/,,0,0,200,
32,15.12.2018.,Valjevo,Klub Abraš,https://web.facebook.com/events/259110218113730/,,0,0,200,
33,10.11.2018.,Beograd,Kvaka 22,https://web.facebook.com/events/278983939425513/,,0,0,200,
34,09.11.2018.,Niš,Klub Feedback,https://web.facebook.com/events/304424026822224/,,0,0,200,
35,13.08.2018.,Beograd,Beer Garden,https://web.facebook.com/events/238470413661248/,,0,0,200,
